tues, 17, 1, 0 , 65, 42, 17, 1,
thurs, 19, 1, 2, 100, 43, 23, 1,
tues, 24, 1, 0, 86, 40, 6, 1,
thurs, 26, 1, 1, 87, 24, 20, 1,
tues, 31, 1, 1, 43, 20, 6, 0,
thurs, 2, 2, 0, 35, 39, 15, 0,
tues, 7, 2, 0, 78, 48, 16, 0,
thurs, 9, 2, 1, 63, 42, 35, 1,
tues, 14, 2, 0, 97, 55, 15, 1,
thurs, 16, 2, 1, 48, 40, 13, 1,
tues, 21, 2, 2, 95, 46, 25, 0,
thurs, 23, 2, 2, 85, 50, 25, 1,
tues, 28, 2, 0, 32, 51, 17, 0,
thurs, 2, 3, 2, 97, 51, 17, 0,
tues, 7, 3, 0, 45, 38, 12, 0,
thurs, 9, 3, 2, 76, 37, 24, 1,
tues, 21, 3, 1, 52, 50, 20, 0,
thurs, 23, 3, 0, 65, 61, 22, 1,
tues, 28, 3, 1, 75, 52, 12, 0,
thurs, 30, 3, 0, 67, 64, 25, 1,
tues, 4, 4, 0, 85, 82, 33, 0,
thurs, 6, 4, 2, 87, 49, 14, 0,
tues, 11, 4, 2, 78, 79, 18, 0,
thurs, 13, 4, 1, 69, 79, 6, 0, 
tues, 18, 4, 2, 87, 62, 3, 0,
thurs, 20, 4, 0, 100, 79, 8, 0,
tues, 25, 4, 0, 87, 57, 8, 0,
thurs, 27, 4, 0, 100, 68, 8, 1,
